id,title,organization,location,start_date,end_date,short_desc,highlights
1,Graduate Teaching Assistant,University of Minnesota,"Minneapolis, MN",2024-08,present,"Co-managing a 250-student undergraduate CS course with 15 undergraduate TAs.","Help manage a class with 250 students and 15 undergraduate Teaching Assistants.|Host weekly office hours to help students with assignments and deepen understanding.|Assign grading to undergraduate TAs and answer grading-related questions.|Write example solutions for projects and rubrics for assignments.|Proofread and improve exams, labs, and project descriptions before release.|Write quiz questions."
2,Online Tutor,GoPeer,Remote,2020-04,2021-08,"Tutored 50+ students K–College in CS, Math, Physics, Spanish, and Writing with 100% satisfaction.","Tutored students K–College in Computer Science (Python, Java, JavaScript), Physics, Mathematics, Spanish, Writing, and Reading in 45 to 90 minute lessons.|Helped students with homework, projects, and wrote personalized assignments to deepen understanding.|Individually tutored over 50 students with over 500 lessons at 100% Customer Satisfaction Rate — <a href='https://app.gopeer.org/tutors/5deab265c327c96d563e6d08' target='_blank'>See Reviews</a>|Featured as a Top Tutor on GoPeer — <a href='https://blog.gopeer.org/the-college-experience-mario-j-sarah-lawrence-college-15e56c52548b' target='_blank'>See Article</a>"
3,Mathematics and Calculus Tutor,Sarah Lawrence College,"Bronxville, NY",2020-09,2021-05,"Tutored college students in Mathematics through Multivariable Calculus for the Math Resource Center.","Tutored college students in general Mathematics, Calculus I & II, Linear Algebra, and Multivariable Calculus for the Math Resource Center.|Hosted regular Zoom sessions to help students understand math concepts and progress in assignments."
4,Computer Science Tutor & Lab Assistant,Sarah Lawrence College,"Bronxville, NY",2020-09,2020-12,"Assisted in all labs for Introduction to Computer Science and hosted programming tutoring sessions.","Assisted and answered questions in all labs for the Introduction to Computer Science course taught in Python.|Hosted regular tutoring sessions to help students with programming assignments and final projects."
5,Teaching Fellow and Residential Assistant,Keystone Academy,"Beijing, China",2019-07,2019-08,"Taught presentation skills to ESL high school students and served as dorm proctor.","Taught presentation skills in English to ESL High School students.|Coordinated games and activities for children in K-12.|Dorm proctored for the English Immersion Program."
6,Program Mentor,Keru,"Phnom Penh, Cambodia",2019-05,2019-06,"Led a student research program on arsenic-contaminated groundwater and built a water filtration system.","Researched the issue of arsenic-contaminated groundwater in Cambodia and wrote a survey for High School students to learn about it.|Guided students in interviewing locals and conducting tests on water samples from various provinces.|Built an affordable water filtration system using rusted nails to remove arsenic from groundwater."
