id,authors,title,venue,date,url,type
1,"E. Temesgen, M. Jerez, G. Brown, G. Wilson, SGL. Divakarla, S. Boelter, O. Nelson, R. McPherson, M. Gini",Geofenced Unmanned Aerial Robotic Defender for Deer Detection and Deterrence (GUARD),arXiv preprint,2025-05,https://doi.org/10.48550/arXiv.2505.10770,preprint
2,"M. Jerez, K. Duong, J. Swanberg, H. Bula, E. Temesgen, M. Gini",UAV Coverage Path Planning for Autonomous Deer Detection in the Wild Driven by Ant Colony Optimization,Robots in the Wild — ICRA 2025 Workshop,2025-05,https://dartmouthrobotics.github.io/icra-2025-robots-wild/spotlight-papers/icra-2025-robots-wild-23.pdf,workshop
