id,title,url,start_date,end_date,short_desc,highlights,tools
1,UAV-based deer shepherding system for protecting crops,https://ebasatemesgen.github.io/FarmGuard/,2025-01,present,"Designing a novel energy-efficient coverage path planning algorithm for a UAV-based deer shepherding system for protecting crops, winning a $5,000 award.","Participated in the <a href='https://www.farmroboticschallenge.ai/' target='_blank'>Farm Robotics Challenge</a> to solve deer-related crop damage for a local farmer using robotics.|Organized and led a team of 27 graduate and undergraduate students building a quadcopter-based deer shepherding system.|Led design of a <a href='https://dartmouthrobotics.github.io/icra-2025-robots-wild/spotlight-papers/icra-2025-robots-wild-23.pdf' target='_blank'>novel energy-efficient coverage path planning algorithm</a> to maximize drone search area.|Won the <a href='https://www.farmroboticschallenge.ai/2025results/v/universityminnesota' target='_blank'>Excellence in Small Farms Technology Award</a> ($5,000).|Paper accepted to the <a href='https://dartmouthrobotics.github.io/icra-2025-robots-wild/papers' target='_blank'>Robots in the Wild ICRA 2025 Workshop</a>; presented poster at ICRA 2025.","ROS|Gazebo|Python|Ant Colony Optimization|UAV Systems"
2,Luminescent Ant Foraging,https://github.com/mariojerez/luminescent-ants,2024-11,present,"Developing a decentralized multi-agent foraging algorithm inspired by bioluminescent communication in social insects.","Developing a decentralized multi-agent algorithm where agents use luminescence-based communication to find resources and return them to their nest.|Adapted the Glowworm Swarm Optimization algorithm (a variant of Ant Colony Optimization) for resource discovery.|Implemented the algorithm with robots in a simulated environment.|Implementing the algorithm on physical robots.","PettingZoo|ROS|Gazebo|Python|Raspberry Pi|Phasespace"
