id,title,year,description,url
1,Excellence in Small Farms Technology Award,2025,"$5,000 award from the Farm Robotics Challenge for a UAV-based deer deterrence system developed with a 27-person team.",https://www.farmroboticschallenge.ai/2025results/v/universityminnesota
2,NSF Research Traineeship: Circularity Impact Program,2025,Travel and Equipment Award for research related to sustainability and circular systems.,https://circularity.umn.edu/
3,Hispanic Scholarship Fund Scholar,2019,Academic achievement award received as an undergraduate student.,https://www.hsf.net/scholarship
