id,category,items
1,Languages,Python|Java|<a href='https://plexil-group.github.io/plexil_docs/' target='_blank' rel='noopener noreferrer'>PLEXIL</a>|Visual Basic|C#|SQL|JavaScript
2,Libraries & Frameworks,<a href='https://docs.ros.org/en/foxy/index.html' target='_blank' rel='noopener noreferrer'>ROS2</a>|NumPy|<a href='https://pytorch.org/' target='_blank' rel='noopener noreferrer'>PyTorch</a>|<a href='https://docs.jax.dev/en/latest/' target='_blank' rel='noopener noreferrer'>JAX</a>|<a href='https://github.com/RobertTLange/gymnax' target='_blank' rel='noopener noreferrer'>gymnax</a>|<a href='https://github.com/FLAIROx/JaxMARL' target='_blank' rel='noopener noreferrer'>JaxMARL</a>|<a href='https://github.com/proroklab/VectorizedMultiAgentSimulator' target='_blank' rel='noopener noreferrer'>VectorizedMultiAgentSimulator (VMAS)</a>|<a href='https://pettingzoo.farama.org/' target='_blank' rel='noopener noreferrer'>PettingZoo</a>|<a href='https://gymnasium.farama.org/index.html' target='_blank' rel='noopener noreferrer'>Gymnasium</a>|<a href='https://px4.io/' target='_blank' rel='noopener noreferrer'>PX4-Autopilot</a>|Pandas|Django|React
3,Tools,Git|VS Code|MSSQL|<a href='https://www.solver.com/analytic-solver-platform' target='_blank' rel='noopener noreferrer'>Analytic Solver</a>
